Tipus_bus,Tipus_dia,Direccio,Parada_sortida,Hora_sortida,Parada_arribada,Hora_arribada,Id_viatge_dia,LatLong_sortida,Nota mapa parada sortida
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,BCN - Zona Universitària,06:35,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,BCN - Palau Reial,06:37,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,BCN - Maria Cristina,06:39,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,BCN - Pl. Francesc Macià,06:42,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,BCN - Muntaner - Còrsega,06:45,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:30,"BCN - Gran Via de les Corts, 612",06:50,1,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,BCN - Zona Universitària,06:35,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,BCN - Palau Reial,06:37,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,BCN - Maria Cristina,06:39,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,BCN - Pl. Francesc Macià,06:42,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,BCN - Muntaner - Còrsega,06:45,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e22,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Plaça Valldaura,05:37,"BCN - Gran Via de les Corts, 612",06:50,1,"41.7239402, 1.8215267",Anada a BCN (no ve marcada tornada BCN)
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Rotonda Els Closos,06:00,BCN - Zona Universitària,06:36,2,"41.5434509, 1.887047",Anada a BCN i Tornada BCN
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Rotonda Els Closos,06:00,BCN - Palau Reial,06:38,2,"41.5434509, 1.887047",Anada a BCN i Tornada BCN
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Rotonda Els Closos,06:00,BCN - Maria Cristina,06:40,2,"41.5434509, 1.887047",Anada a BCN i Tornada BCN
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Pl. Catalunya,06:02,BCN - Zona Universitària,06:36,2,"41.5423827, 1.8924025",Anada a BCN
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Pl. Catalunya,06:02,BCN - Palau Reial,06:38,2,"41.5423827, 1.8924025",Anada a BCN
e23,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,OLESA - Pl. Catalunya,06:02,BCN - Maria Cristina,06:40,2,"41.5423827, 1.8924025",Anada a BCN
,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:40,OLESA - Rotonda Els Closos,06:25,3,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:40,OLESA - Pl. Catalunya,06:27,3,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
,"Dilluns a divendres feiners, excepte agost",Manresa - Barcelona,MANRESA - Estació d'autobusos,05:40,BCN - Zona Universitària,06:55,3,"41.7318454, 1.8322115",Anada a BCN i Tornada BCN
